Year,State,2013 Urbanization,2013 Urbanization Code,Deaths,Population,Age Adjusted Rate,aar_unreliable,urb_code
2000.0,Michigan,Large Central Metro,1.0,218.0,2635497.0,8.5,0,"[1.0, 'Large Central Metro']"
2000.0,Michigan,Large Fringe Metro,2.0,148.0,2747730.0,5.2,0,"[2.0, 'Large Fringe Metro']"
2000.0,Michigan,Medium Metro,3.0,81.0,1572734.0,5.2,0,"[3.0, 'Medium Metro']"
2000.0,Michigan,Small Metro,4.0,52.0,1178075.0,4.4,0,"[4.0, 'Small Metro']"
2000.0,Michigan,Micropolitan (non-metro),5.0,38.0,1107389.0,3.5,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Michigan,NonCore (non-metro),6.0,24.0,697019.0,3.5,0,"[6.0, 'NonCore (non-metro)']"
2000.0,Minnesota,Large Central Metro,1.0,65.0,1627235.0,3.9,0,"[1.0, 'Large Central Metro']"
2000.0,Minnesota,Large Fringe Metro,2.0,18.0,1304724.0,1.4,1,"[2.0, 'Large Fringe Metro']"
2000.0,Minnesota,Medium Metro,3.0,16.0,232199.0,7.2,1,"[3.0, 'Medium Metro']"
2000.0,Minnesota,Micropolitan (non-metro),5.0,12.0,623930.0,2.1,1,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Minnesota,NonCore (non-metro),6.0,13.0,591231.0,2.4,1,"[6.0, 'NonCore (non-metro)']"
2000.0,Mississippi,Medium Metro,3.0,43.0,889334.0,4.9,0,"[3.0, 'Medium Metro']"
2000.0,Mississippi,Micropolitan (non-metro),5.0,36.0,963438.0,4.0,0,"[5.0, 'Micropolitan (non-metro)']"
2000.0,Mississippi,NonCore (non-metro),6.0,22.0,683259.0,3.4,0,"[6.0, 'NonCore (non-metro)']"
2000.0,Missouri,Large Central Metro,1.0,90.0,1003069.0,9.0,0,"[1.0, 'Large Central Metro']"
2000.0,Missouri,Large Fringe Metro,2.0,114.0,2096367.0,5.4,0,"[2.0, 'Large Fringe Metro']"
2000.0,Missouri,Medium Metro,3.0,25.0,390055.0,6.6,0,"[3.0, 'Medium Metro']"
