Year,State,2013 Urbanization,2013 Urbanization Code,Deaths,Population,Age Adjusted Rate,aar_unreliable,urb_code
1999.0,Nevada,Large Central Metro,1.0,182.0,1321254.0,13.7,0,"[1.0, 'Large Central Metro']"
1999.0,Nevada,Medium Metro,3.0,34.0,336225.0,9.5,0,"[3.0, 'Medium Metro']"
1999.0,New Hampshire,Large Fringe Metro,2.0,11.0,384881.0,2.7,1,"[2.0, 'Large Fringe Metro']"
1999.0,New Hampshire,Medium Metro,3.0,21.0,376407.0,5.2,0,"[3.0, 'Medium Metro']"
1999.0,New Hampshire,Micropolitan (non-metro),5.0,18.0,417911.0,4.2,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,New Jersey,Large Central Metro,1.0,144.0,1914012.0,7.4,0,"[1.0, 'Large Central Metro']"
1999.0,New Jersey,Large Fringe Metro,2.0,342.0,5497245.0,6.1,0,"[2.0, 'Large Fringe Metro']"
1999.0,New Jersey,Medium Metro,3.0,53.0,699907.0,7.4,0,"[3.0, 'Medium Metro']"
1999.0,New Jersey,Small Metro,4.0,18.0,248428.0,7.3,1,"[4.0, 'Small Metro']"
1999.0,New Mexico,Medium Metro,3.0,140.0,722692.0,19.0,0,"[3.0, 'Medium Metro']"
1999.0,New Mexico,Small Metro,4.0,53.0,414429.0,13.0,0,"[4.0, 'Small Metro']"
1999.0,New Mexico,Micropolitan (non-metro),5.0,65.0,570091.0,12.3,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,New York,Large Central Metro,1.0,766.0,9633885.0,7.9,0,"[1.0, 'Large Central Metro']"
1999.0,New York,Large Fringe Metro,2.0,122.0,5196823.0,2.3,0,"[2.0, 'Large Fringe Metro']"
1999.0,New York,Medium Metro,3.0,39.0,1774290.0,2.2,0,"[3.0, 'Medium Metro']"
1999.0,New York,Small Metro,4.0,11.0,853394.0,1.3,1,"[4.0, 'Small Metro']"
1999.0,New York,Micropolitan (non-metro),5.0,12.0,1020061.0,1.2,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,North Carolina,Large Central Metro,1.0,56.0,1294799.0,4.2,0,"[1.0, 'Large Central Metro']"
1999.0,North Carolina,Large Fringe Metro,2.0,57.0,940389.0,5.9,0,"[2.0, 'Large Fringe Metro']"
1999.0,North Carolina,Medium Metro,3.0,143.0,2929414.0,4.8,0,"[3.0, 'Medium Metro']"
1999.0,North Carolina,Small Metro,4.0,30.0,781525.0,4.2,0,"[4.0, 'Small Metro']"
1999.0,North Carolina,Micropolitan (non-metro),5.0,53.0,1407360.0,3.8,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,North Carolina,NonCore (non-metro),6.0,27.0,595874.0,4.7,0,"[6.0, 'NonCore (non-metro)']"
1999.0,Ohio,Large Central Metro,1.0,167.0,3310892.0,5.1,0,"[1.0, 'Large Central Metro']"
1999.0,Ohio,Large Fringe Metro,2.0,52.0,2048294.0,2.5,0,"[2.0, 'Large Fringe Metro']"
1999.0,Ohio,Medium Metro,3.0,162.0,3074241.0,5.3,0,"[3.0, 'Medium Metro']"
1999.0,Ohio,Small Metro,4.0,17.0,527717.0,3.3,1,"[4.0, 'Small Metro']"
1999.0,Ohio,Micropolitan (non-metro),5.0,60.0,1923632.0,3.2,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Oklahoma,Large Central Metro,1.0,35.0,657182.0,5.5,0,"[1.0, 'Large Central Metro']"
1999.0,Oklahoma,Large Fringe Metro,2.0,27.0,431165.0,6.3,0,"[2.0, 'Large Fringe Metro']"
1999.0,Oklahoma,Medium Metro,3.0,50.0,941150.0,5.4,0,"[3.0, 'Medium Metro']"
1999.0,Oklahoma,Micropolitan (non-metro),5.0,36.0,750164.0,5.1,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Oklahoma,NonCore (non-metro),6.0,27.0,534944.0,5.2,0,"[6.0, 'NonCore (non-metro)']"
1999.0,Oregon,Large Central Metro,1.0,75.0,657740.0,10.7,0,"[1.0, 'Large Central Metro']"
1999.0,Oregon,Large Fringe Metro,2.0,37.0,899207.0,4.0,0,"[2.0, 'Large Fringe Metro']"
1999.0,Oregon,Medium Metro,3.0,47.0,665763.0,7.3,0,"[3.0, 'Medium Metro']"
1999.0,Oregon,Small Metro,4.0,24.0,548122.0,4.4,0,"[4.0, 'Small Metro']"
1999.0,Oregon,Micropolitan (non-metro),5.0,25.0,527771.0,5.1,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Pennsylvania,Large Central Metro,1.0,428.0,2807311.0,15.5,0,"[1.0, 'Large Central Metro']"
1999.0,Pennsylvania,Large Fringe Metro,2.0,259.0,3513839.0,7.4,0,"[2.0, 'Large Fringe Metro']"
1999.0,Pennsylvania,Medium Metro,3.0,194.0,3326389.0,5.9,0,"[3.0, 'Medium Metro']"
1999.0,Pennsylvania,Small Metro,4.0,55.0,1095732.0,5.1,0,"[4.0, 'Small Metro']"
1999.0,Pennsylvania,Micropolitan (non-metro),5.0,40.0,1103869.0,3.7,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Pennsylvania,NonCore (non-metro),6.0,14.0,416665.0,3.4,1,"[6.0, 'NonCore (non-metro)']"
1999.0,Rhode Island,Large Central Metro,1.0,40.0,616607.0,6.5,0,"[1.0, 'Large Central Metro']"
1999.0,Rhode Island,Large Fringe Metro,2.0,18.0,423795.0,4.2,1,"[2.0, 'Large Fringe Metro']"
1999.0,South Carolina,Large Fringe Metro,2.0,13.0,256550.0,5.1,1,"[2.0, 'Large Fringe Metro']"
1999.0,South Carolina,Medium Metro,3.0,100.0,2543031.0,3.9,0,"[3.0, 'Medium Metro']"
1999.0,South Carolina,Small Metro,4.0,11.0,435890.0,2.6,1,"[4.0, 'Small Metro']"
1999.0,South Carolina,Micropolitan (non-metro),5.0,15.0,420711.0,3.6,1,"[5.0, 'Micropolitan (non-metro)']"
1999.0,South Dakota,Small Metro,4.0,10.0,314906.0,3.2,1,"[4.0, 'Small Metro']"
1999.0,Tennessee,Large Central Metro,1.0,110.0,1461077.0,7.5,0,"[1.0, 'Large Central Metro']"
1999.0,Tennessee,Large Fringe Metro,2.0,36.0,873494.0,4.1,0,"[2.0, 'Large Fringe Metro']"
1999.0,Tennessee,Medium Metro,3.0,92.0,1427799.0,6.3,0,"[3.0, 'Medium Metro']"
1999.0,Tennessee,Small Metro,4.0,29.0,505364.0,5.7,0,"[4.0, 'Small Metro']"
1999.0,Tennessee,Micropolitan (non-metro),5.0,41.0,748183.0,5.6,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Tennessee,NonCore (non-metro),6.0,36.0,622789.0,5.9,0,"[6.0, 'NonCore (non-metro)']"
1999.0,Texas,Large Central Metro,1.0,604.0,9615509.0,6.3,0,"[1.0, 'Large Central Metro']"
1999.0,Texas,Large Fringe Metro,2.0,157.0,3003660.0,5.2,0,"[2.0, 'Large Fringe Metro']"
1999.0,Texas,Medium Metro,3.0,159.0,3594837.0,4.7,0,"[3.0, 'Medium Metro']"
1999.0,Texas,Small Metro,4.0,62.0,1499988.0,4.3,0,"[4.0, 'Small Metro']"
1999.0,Texas,Micropolitan (non-metro),5.0,51.0,1502850.0,3.6,0,"[5.0, 'Micropolitan (non-metro)']"
1999.0,Texas,NonCore (non-metro),6.0,54.0,1341376.0,4.0,0,"[6.0, 'NonCore (non-metro)']"
1999.0,Utah,Large Central Metro,1.0,135.0,891116.0,16.3,0,"[1.0, 'Large Central Metro']"
